Data,RegiaoPagamento,RegiaoRecebimento,IdadePagamento,IdadeRecebimento,Valor,Quantidade,ValorTransacao
07-2023,SUL,NORDESTE,entre 50 e 59 anos,entre 30 e 39 anos,1.742856953E7,71537,243.63
07-2023,SUL,SUDESTE,entre 40 e 49 anos,entre 30 e 39 anos,2422175.95,26605,91.04
07-2023,SUL,SUL,Nao se aplica,Nao se aplica,548.84,2,274.42
07-2023,NORTE,SUDESTE,entre 50 e 59 anos,entre 20 e 29 anos,1539314.69,9119,168.8
08-2023,NORTE,CENTRO-OESTE,entre 40 e 49 anos,Nao se aplica,1.25821418E7,56471,222.81
08-2023,NORDESTE,Nao informado,entre 50 e 59 anos,Nao se aplica,7456.05,30,248.54
08-2023,CENTRO-OESTE,SUL,entre 20 e 29 anos,entre 30 e 39 anos,512056.12,12713,40.28
08-2023,SUDESTE,NORDESTE,mais de 60 anos,Nao se aplica,6.606715257E7,88370,747.62
08-2023,SUL,NORDESTE,entre 20 e 29 anos,Nao se aplica,1572.95,16,98.31
08-2023,NORDESTE,SUL,até 19 anos,entre 40 e 49 anos,15048.75,107,140.64
08-2023,NORDESTE,SUL,até 19 anos,mais de 60 anos,365110.67,4051,90.13
08-2023,SUDESTE,SUL,entre 20 e 29 anos,entre 30 e 39 anos,1672577.4,50208,33.31
08-2023,CENTRO-OESTE,SUDESTE,entre 30 e 39 anos,entre 20 e 29 anos,8599067.43,51525,166.89
08-2023,SUL,SUL,até 19 anos,entre 30 e 39 anos,4293955.11,139704,30.74
09-2023,SUDESTE,NORTE,mais de 60 anos,Nao informado,663.9,2,331.95
09-2023,NORDESTE,NORTE,entre 20 e 29 anos,entre 40 e 49 anos,574676.94,25686,22.37
09-2023,SUL,NORTE,entre 20 e 29 anos,até 19 anos,11199.82,307,36.48
09-2023,SUL,SUL,entre 40 e 49 anos,entre 40 e 49 anos,879006.63,1982,443.49
09-2023,CENTRO-OESTE,SUL,entre 40 e 49 anos,Nao se aplica,1.646552409E7,122527,134.38
09-2023,SUDESTE,SUL,mais de 60 anos,entre 40 e 49 anos,33369.56,94,355.0
09-2023,SUDESTE,SUDESTE,entre 20 e 29 anos,Nao se aplica,7224204.24,38836,186.02
09-2023,NORTE,CENTRO-OESTE,entre 30 e 39 anos,Nao se aplica,120.0,2,60.0
09-2023,SUDESTE,Nao informado,entre 50 e 59 anos,entre 50 e 59 anos,3176384.05,3356,946.48
09-2023,SUL,NORTE,Nao se aplica,entre 50 e 59 anos,20127.89,14,1437.71
10-2023,NORDESTE,NORDESTE,entre 50 e 59 anos,entre 40 e 49 anos,1137140.57,6062,187.59
10-2023,SUDESTE,NORTE,Nao se aplica,entre 20 e 29 anos,5.7756326434E8,3787756,152.48
10-2023,SUL,CENTRO-OESTE,até 19 anos,entre 50 e 59 anos,858804.86,5652,151.95
10-2023,NORDESTE,CENTRO-OESTE,entre 50 e 59 anos,entre 30 e 39 anos,138349.22,3598,38.45
10-2023,Nao informado,SUL,entre 40 e 49 anos,entre 40 e 49 anos,25718.58,259,99.3
10-2023,SUL,NORDESTE,entre 50 e 59 anos,mais de 60 anos,4682868.64,10400,450.28
10-2023,NORTE,CENTRO-OESTE,entre 20 e 29 anos,Nao se aplica,5239.04,37,141.6
10-2023,NORTE,NORDESTE,entre 30 e 39 anos,entre 20 e 29 anos,7826454.88,70042,111.74
10-2023,SUL,CENTRO-OESTE,Nao se aplica,Nao se aplica,8.3673293439E8,97082,8618.83
10-2023,CENTRO-OESTE,SUDESTE,entre 30 e 39 anos,entre 30 e 39 anos,1.3169617196E8,432409,304.56
